Course Number,Course Name,Number of Units,Description,Prerequisites
HISC 110,Historical Encounters of Science and Religion ,4,"There was no such thing as a single, unchanging relationship between science and religion, and this is a course about it. Topics include the Conflict Thesis, natural theology, the Galileo Affair, Darwinism, the antievolution crusade, creationism, secularization, atheism, and psychoanalysis.",none
HISC 111,The Atomic Bomb and the Atomic Age ,4,"Development of nuclear science and weapons1930s to presentincluding the discovery of radioactivity and fission, the Manhattan project, the bombings of Hiroshima and Nagasaki and end of WWII, the H-bomb, and legacies of nuclear proliferation, environmental damage, and radioactive waste.",none
HISC 114,The Darwinian Legacy ,4,"The Origin of Species by means of Natural Selection, and its scientific, intellectual, and political legacies. Topics include social Darwinism, eugenics, Nazi racial hygiene, population control, neo-Malthusianism in the modern environmental movement.",none
HISC 115,History of Modern Medicine ,4,"Explores the origin of clinical method, the hospital, internal surgery, and the medical laboratory, as well as the historical roots of debates over health-care reform, genetic determinism, and the medicalization of society.",none
HISC 116,History of Bioethics ,4,"The story behind the postwar rise of bioethicsmedical scandals breaking in the mass media, the development of novel technologies for saving and prolonging life, the emergence of new diseases, the unprecedented scope for manipulation opened up by biology.",none
HISC 117,History of the Neurosciences ,4,"A survey of the history of the neurosciences from the seventeenth century to the present, exploring the political, philosophical, cultural, aesthetic and ethical aspects of research into the workings of the human brain.",none
HISC 118,History of Sexology ,4,"Analyzes the history of sexology as a series of episodes in the science of human difference, from the European reception of the first translation of the Kama Sutra in 1883 to the search for the gay gene in the 1990s.",none
HISC 119,Biology and Society ,4,"This course explores contemporary issues in biology, ethics, and society. We will start by examining early cases of biopolitics, like social Darwinism and eugenics, and proceed to more recent issues, such as genetic engineering, patenting life, and the pharmaceutical industry.",none
HISC 120A,Technology in America I ,4,"The role of technology in American history through the Civil War. Indigenous and colonial development, transportation infrastructures, and industrialization are explored to understand the connections among technology, society, and culture.+",none
HISC 130,Technology in the Twentieth Century ,4,"Major technological developments in the twentieth century, including the rise and decline of technologies, unexpected hazards and unanticipated consequences, and why some technologies fail.",none
HISC 131,"Science, Technology, and Law ",4,Science and law are two of the most powerful establishments of modern Western culture. Science organizes our knowledge of the world; law directs our action in it. Will explore the historical roots of the interplay between them.,none
HISC 144,Topics in Science Studies ,4,Selected topics in the history of science. Course can be taken for credit up to three times as topics will vary.,none
HISC 160/260,Historical Approaches to the Study of Science ,4,"Major recent publications in the history of science will be discussed and analyzed; the topics will range in period from the seventeenth century to the twentieth, and will deal with all major branches of natural science. Special topics. Topics will vary from year to year. ",consent of instructor.
HISC 163/263,"History, Science, and Politics of Climate Change ",4,"The complex historical development of human understanding of global climate change, including key scientific work, and the cultural dimensions of proof and persuasion. Special emphasis on the differential political acceptance of the scientific evidence in the United States and the world. Graduate students are required to submit an additional paper. ",upper-division or graduate standing. Department stamp required.
